Code,Actual,Predicted,Error,AbsoluteError,SquaredError
GUNA,68.0,42.11665178832308,25.883348211676918,25.883348211676918,669.9477146469187
GOLF,51.0,48.49667359471409,2.503326405285911,2.503326405285911,6.266643091401681
LABS,80.3921568627451,40.726692033651524,39.66546482909357,39.66546482909357,1573.3491001080592
ISEA,40.0,37.26724100767441,2.732758992325593,2.732758992325593,7.467971710136389
PART,28.57142857142857,45.248035453494744,-16.676606882066174,16.676606882066174,278.1092170989769
BLES,67.21311475409836,48.003655108580695,19.20945964551766,19.20945964551766,369.0033398727715
SPRE,20.0,19.44638454626979,0.5536154537302096,0.5536154537302096,0.3064900706089058
BATR,19.090909090909093,42.90751772460914,-23.81660863370005,23.81660863370005,567.2308468108357
SOLA,54.54545454545454,44.84761568052868,9.697838864925856,9.697838864925856,94.04807865006642
DATA,67.02127659574468,41.30250588757972,25.71877070816496,25.71877070816496,661.455166739164
MHKI,68.75,41.04312605560022,27.70687394439978,27.70687394439978,767.6708637708595
ATLA,82.0,40.173391476850256,41.826608523149744,41.826608523149744,1749.465180548823
AREA,12.213740458015266,42.135739990556004,-29.921999532540738,29.921999532540738,895.3260560253682
VISI,44.16666666666666,43.02879797599763,1.1378686906690305,1.1378686906690305,1.2947451572048538
LIVE,22.2972972972973,40.946851811357874,-18.649554514060576,18.649554514060576,347.8058835729172
BAIK,-31.654676258992804,37.99225584080262,-69.64693209979542,69.64693209979542,4850.695150913514
HYGN,15.862068965517242,43.26812080298152,-27.40605183746428,27.40605183746428,751.0916773177792
MKAP,80.8695652173913,41.38983383205457,39.47973138533673,39.47973138533673,1558.6491902583418
MEJA,19.41747572815534,14.103458141547822,5.314017586607516,5.314017586607516,28.23878291077397
ALII,55.88235294117647,49.43168301730574,6.450669923870734,6.450669923870734,41.61114246673046
MPIX,55.223880597014926,35.52996712366706,19.693913473347862,19.693913473347862,387.85022789571246
TOSK,14.4,36.44416685951188,-22.044166859511883,22.044166859511883,485.945292530002
UNTD,-3.333333333333333,43.785532786817136,-47.11886612015047,47.11886612015047,2220.187544448664
SMGA,61.90476190476191,43.713536043726364,18.191225861035548,18.191225861035548,330.9206983272085
GRPH,27.184466019417474,42.700610015216085,-15.516143995798611,15.516143995798611,240.7507244983573
MSJA,44.0,43.46107126651203,0.5389287334879711,0.5389287334879711,0.2904441797789486
NICE,44.97716894977169,37.22230229556968,7.754866654202004,7.754866654202004,60.13795682445419
ACRO,76.85185185185185,37.94089385980128,38.91095799205057,38.91095799205057,1514.0626518591241
SMLE,68.0,39.36871075846145,28.631289241538553,28.631289241538553,819.7507236326413
CGAS,50.88757396449704,41.34961515934044,9.537958805156599,9.537958805156599,90.9726581688643
MANG,-12.0,4.277052989262668,-16.277052989262668,16.277052989262668,264.94245401526473
ASLI,-12.0,42.24065454501795,-54.24065454501795,54.24065454501795,2942.048605471976
