Model,BestParams,MAE,MSE,RMSE,R²
LinearRegression,{},47.7136784958103,4258.645945692111,65.25830173772614,0.05937129256787954
Ridge,{'alpha': 10},47.723904015445996,4262.050136278332,65.28437896065438,0.05861939174498798
Lasso,{'alpha': 10},48.98515696256113,4600.779177680269,67.82904376209552,-0.01619740787788926
DecisionTree,{'max_depth': 3},52.28335939225591,5051.469217789308,71.07368864628673,-0.11574360056130062
RandomForest,"{'max_depth': 5, 'n_estimators': 50}",45.96313881958971,3622.668624136159,60.188608757273656,0.19984282590500813
SVR,"{'C': 1, 'gamma': 'auto'}",42.44873716369923,4620.068176911774,67.97108338780377,-0.020457866870293495
XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",48.63107738300602,4361.749473463656,66.04354225405885,0.03659829399129122
