Code,Actual,Predicted,Error,NegativeError,SquaredNError
GUNA,94.66666666666669,15.1,79.56666666666669,0.0,0.0
GOLF,15.0,15.0,0.0,0.0,0.0
LABS,76.47058823529412,15.099999952049547,61.37058828324457,0.0,0.0
ISEA,40.8,15.1,25.699999999999996,0.0,0.0
PART,22.857142857142858,15.1,7.757142857142858,0.0,0.0
BLES,40.98360655737705,15.1,25.88360655737705,0.0,0.0
SPRE,40.8,15.1,25.699999999999996,0.0,0.0
BATR,-19.090909090909093,14.9,-33.99090909090909,33.99090909090909,1155.3819008264463
SOLA,71.81818181818181,15.1,56.71818181818181,0.0,0.0
DATA,131.91489361702128,15.0,116.91489361702128,0.0,0.0
MHKI,91.25,15.1,76.15,0.0,0.0
ATLA,164.0,15.1,148.9,0.0,0.0
AREA,-13.740458015267176,14.9,-28.64045801526718,28.64045801526718,820.275835324282
VISI,2.5,14.9,-12.4,12.4,153.76000000000002
LIVE,18.24324324324324,15.1,3.143243243243239,0.0,0.0
BAIK,-55.75539568345324,15.0,-70.75539568345323,70.75539568345323,5006.326018322032
HYGN,20.0,15.0,5.0,0.0,0.0
MKAP,117.3913043478261,15.1,102.2913043478261,0.0,0.0
MEJA,4.854368932038835,15.0,-10.145631067961165,10.145631067961165,102.93382976717882
ALII,51.47058823529412,15.0,36.47058823529412,0.0,0.0
MPIX,-47.01492537313433,14.9,-61.91492537313433,61.91492537313433,3833.457983960793
TOSK,-25.6,14.9,-40.5,40.5,1640.25
UNTD,-30.0,14.9,-44.9,44.9,2016.0099999999998
SMGA,9.523809523809524,14.9,-5.376190476190477,5.376190476190477,28.903424036281184
GRPH,-16.50485436893204,15.0,-31.50485436893204,31.50485436893204,992.5558488076163
MSJA,25.333333333333336,15.1,10.233333333333336,0.0,0.0
NICE,27.85388127853881,15.1,12.753881278538811,0.0,0.0
ACRO,-0.9259259259259258,14.9,-15.825925925925926,15.825925925925926,250.45993141289438
SMLE,4.571428571428571,14.9,-10.32857142857143,10.32857142857143,106.67938775510206
CGAS,45.5621301775148,15.0,30.562130177514803,0.0,0.0
MANG,-28.000000000000004,15.0,-43.0,43.0,1849.0
ASLI,-39.0,14.903421811831167,-53.903421811831166,53.903421811831166,2905.578883024196
SURI,-3.5294117647058822,14.9,-18.429411764705883,18.429411764705883,339.6432179930796
AYAM,11.0,14.9,-3.9000000000000004,3.9000000000000004,15.210000000000003
MSTI,2.214022140221402,14.9,-12.685977859778598,12.685977859778598,160.93403425879276
IKPM,4.848484848484849,14.9,-10.05151515151515,10.05151515151515,101.03295684113864
RGAS,-8.333333333333332,14.9,-23.233333333333334,23.233333333333334,539.7877777777778
UDNG,-5.0,14.9,-19.9,19.9,396.00999999999993
LOPI,-14.000000000000002,14.9,-28.900000000000002,28.900000000000002,835.2100000000002
PTPS,-46.96969696969697,14.9,-61.86969696969697,61.86969696969697,3827.85940312213
KOKA,-12.5,14.9,-27.4,27.4,750.7599999999999
BREN,202.5641025641025,15.1,187.46410256410252,0.0,0.0
IOTF,5.0,15.0,-10.0,10.0,100.0
KOCI,-42.5,14.9,-57.4,57.4,3294.7599999999998
STRK,128.0,15.1,112.9,0.0,0.0
AEGS,-32.0,15.0,-47.0,47.0,2209.0
BABY,-2.255639097744361,14.9,-17.155639097744363,17.155639097744363,294.31595285205503
RSCH,15.65217391304348,15.1,0.5521739130434806,0.0,0.0
LMAX,46.0,15.1,30.9,0.0,0.0
GRIA,-1.6666666666666667,14.9,-16.566666666666666,16.566666666666666,274.45444444444445
FOLK,-15.0,14.9,-29.9,29.9,894.0099999999999
PPRI,-45.0,14.9,-59.9,59.9,3588.0099999999998
CYBR,132.0,15.1,116.9,0.0,0.0
HUMI,51.0,15.1,35.9,0.0,0.0
MSIE,-40.0,14.9,-54.9,54.9,3014.0099999999998
ERAL,-5.641025641025641,14.9,-20.54102564102564,20.54102564102564,421.9337343852728
HBAT,-37.96296296296296,14.9,-52.86296296296296,52.86296296296296,2794.4928532235936
MUTU,23.14814814814815,15.1,8.04814814814815,0.0,0.0
CNMA,14.074074074074074,14.9,-0.825925925925926,0.825925925925926,0.6821536351165981
RMKO,21.11111111111111,15.1,6.011111111111111,0.0,0.0
MAHA,132.20338983050848,15.1,117.10338983050849,0.0,0.0
INET,100.0,15.1,84.9,0.0,0.0
TGUK,26.36363636363636,15.1,11.26363636363636,0.0,0.0
CRSN,-9.6,14.9,-24.5,24.5,600.25
WIDI,8.0,14.9,-6.9,6.9,47.61000000000001
GRPM,-30.0,15.0,-45.0,45.0,2025.0
AMMN,3.834808259587021,15.0,-11.165191740412979,11.165191740412979,124.6615066001862
VKTR,15.0,15.0,0.0,0.0,0.0
RELF,56.66666666666666,15.0,41.66666666666666,0.0,0.0
KLAS,-8.904109589041095,15.0,-23.904109589041095,23.904109589041095,571.4064552448864
MAXI,-42.0,14.899999999980947,-56.89999999998095,56.89999999998095,3237.609999997832
MPXL,13.88888888888889,14.899999999999999,-1.0111111111111093,1.0111111111111093,1.022345679012342
JATI,114.0,15.1,98.9,0.0,0.0
RAAM,201.28205128205127,15.1,186.18205128205128,0.0,0.0
DOOH,-1.0,14.9,-15.9,15.9,252.81
TYRE,2.1739130434782608,14.9,-12.72608695652174,12.72608695652174,161.95328922495278
SMIL,48.0,15.0,33.0,0.0,0.0
AWAN,212.0,15.1,196.9,0.0,0.0
MENN,-30.76923076923077,15.0,-45.769230769230774,45.769230769230774,2094.822485207101
PIPA,60.0,15.1,44.9,0.0,0.0
NCKL,15.6,15.1,0.5,0.0,0.0
GTRA,85.33333333333334,15.1,70.23333333333335,0.0,0.0
HAJJ,25.0,15.0,10.0,0.0,0.0
NSSS,3.149606299212598,14.9,-11.750393700787402,11.750393700787402,138.07175212350427
CUAN,200.0,15.1,184.9,0.0,0.0
SAGE,40.0,15.1,24.9,0.0,0.0
TRON,50.0,15.1,34.9,0.0,0.0
PTMP,13.333333333333334,14.9,-1.5666666666666664,1.5666666666666664,2.4544444444444435
BDKR,29.0,15.1,13.9,0.0,0.0
FUTR,42.0,15.1,26.9,0.0,0.0
PGEO,-0.5714285714285714,14.9,-15.471428571428572,15.471428571428572,239.36510204081634
KING,-11.538461538461538,14.9,-26.43846153846154,26.43846153846154,698.9922485207101
CHIP,43.75,15.1,28.65,0.0,0.0
HALO,19.0,15.1,3.9000000000000004,0.0,0.0
VAST,0.0,14.9,-14.9,14.9,222.01000000000002
HILL,26.4,15.0,11.399999999999999,0.0,0.0
PACK,-37.03703703703704,14.9,-51.93703703703704,51.93703703703704,2697.455816186557
IRSX,-6.930693069306932,14.899999999980947,-21.83069306928788,21.83069306928788,476.5791598854538
FWCT,1.694915254237288,15.0,-13.305084745762713,13.305084745762713,177.02528009192764
NAYZ,-28.000000000000004,14.9,-42.900000000000006,42.900000000000006,1840.4100000000005
PEVE,47.651006711409394,15.0,32.651006711409394,0.0,0.0
LAJU,41.0,15.099999999992908,25.90000000000709,0.0,0.0
