Model,BestParams,MAE,MSE,RMSE,R²
LinearRegression,{},35.827505273451976,1854.732564209181,43.066606137576954,0.17693584736557366
Ridge,{'alpha': 10},36.06074807943209,1869.7773718668695,43.24092242155421,0.17025949838390642
Lasso,{'alpha': 1},36.211677232448935,1874.3689434057746,43.29398276210881,0.16822192271889902
DecisionTree,{'max_depth': 3},38.090692816644406,2324.837894433387,48.216572819243254,-0.03168012926439978
RandomForest,"{'max_depth': 5, 'n_estimators': 50}",36.7344536301833,2099.994321614533,45.82569499325169,0.06809742805495056
SVR,"{'C': 1, 'gamma': 'auto'}",35.32962754723024,2271.8800525069955,47.664242913393636,-0.008179328053699031
XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",36.29653996729099,2001.1292932378174,44.733983650439825,0.11197020107694977
