Model,BestParams,MANE,MSNE,RMSNE,R²
LinearRegression,{},13.419594471035898,492.4342008093493,22.190858496447344,0.5958185713860322
Ridge,{'alpha': 10},13.590232716332544,498.6264204359091,22.32994447901537,0.5907361051989946
Lasso,{'alpha': 1},13.585365912008,496.55891865472523,22.2836020125725,0.59243307470722
DecisionTree,{'max_depth': 3},12.208129175057708,457.29709431074116,21.384505940300354,0.6246584973672638
RandomForest,"{'max_depth': 5, 'n_estimators': 100}",11.383680582231221,439.71593919777087,20.969404836517676,0.6390888037484309
SVR,"{'C': 0.1, 'gamma': 'auto'}",12.78073950392444,439.78983249824864,20.971166693778596,0.6390281534124002
XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",14.368763752908503,519.3566062420373,22.789396794168056,0.5737211291863966
