Code,Actual,Predicted,Error,AbsoluteError,SquaredError
GUNA,98.66666666666669,16.398363095238096,82.26830357142859,82.26830357142859,6768.07377252073
GOLF,20.0,16.398363095238096,3.6016369047619037,3.6016369047619037,12.971788393742907
LABS,66.66666666666666,16.398363047287642,50.26830361937901,50.26830361937901,2526.902348770073
ISEA,87.2,16.398363095238096,70.8016369047619,70.8016369047619,5012.871788393743
PART,16.19047619047619,16.29047619047619,-0.10000000000000142,0.10000000000000142,0.010000000000000285
BLES,50.81967213114754,16.398363095238096,34.421309035909445,34.421309035909445,1184.8265157455812
SPRE,28.000000000000004,16.398363095238096,11.601636904761907,11.601636904761907,134.59797886993346
BATR,-7.272727272727272,16.198363095238093,-23.471090367965367,23.471090367965367,550.8920830611967
SOLA,129.0909090909091,16.398363095238096,112.692545995671,112.692545995671,12699.609922986423
DATA,118.08510638297874,16.298363095238095,101.78674328774065,101.78674328774065,10360.541109124417
MHKI,155.0,16.398363095238096,138.6016369047619,138.6016369047619,19210.41375267946
ATLA,112.0,16.398363095238096,95.6016369047619,95.6016369047619,9139.672978869934
AREA,-11.450381679389311,16.198363095238093,-27.648744774627403,27.648744774627403,764.4530876124861
VISI,10.0,16.198363095238093,-6.1983630952380935,6.1983630952380935,38.41970506040956
LIVE,16.216216216216218,16.298363095238095,-0.08214687902187734,0.08214687902187734,0.006748109733034952
BAIK,-52.51798561151079,16.298363095238095,-68.81634870674888,68.81634870674888,4735.689849328859
HYGN,17.24137931034483,16.298363095238095,0.9430162151067343,0.9430162151067343,0.8892795819542305
MKAP,113.91304347826087,16.398363095238096,97.51468038302278,97.51468038302278,9509.112890203087
MEJA,-1.9417475728155336,16.298363095238095,-18.240110668053628,18.240110668053628,332.70163718284374
ALII,44.85294117647059,16.298363095238095,28.554578081232492,28.554578081232492,815.363929397203
MPIX,-49.62686567164179,16.198363095238093,-65.82522876687989,65.82522876687989,4332.960742212072
TOSK,-23.200000000000003,16.198363095238093,-39.398363095238096,39.398363095238096,1552.231014584219
UNTD,-27.08333333333333,16.198363095238093,-43.28169642857142,43.28169642857142,1873.3052457350122
SMGA,11.428571428571429,16.198363095238093,-4.769791666666665,4.769791666666665,22.75091254340276
GRPH,-4.854368932038835,16.298363095238095,-21.15273202727693,21.15273202727693,447.4380722177872
MSJA,27.33333333333333,16.398363095238096,10.934970238095232,10.934970238095232,119.5735741080285
NICE,27.85388127853881,16.398363095238096,11.455518183300715,11.455518183300715,131.2288968479333
ACRO,3.7037037037037033,16.198363095238093,-12.494659391534391,12.494659391534391,156.11651331045857
SMLE,26.857142857142858,16.398363095238096,10.458779761904761,10.458779761904761,109.38607410802862
CGAS,93.78698224852072,16.298363095238095,77.48861915328263,77.48861915328263,6004.486098282479
MANG,-34.0,16.298363095238095,-50.298363095238095,50.298363095238095,2529.9253300604096
ASLI,-43.0,16.20178490706926,-59.20178490706926,59.20178490706926,3504.8513361828936
SURI,0.5882352941176471,16.198363095238093,-15.610127801120447,15.610127801120447,243.6760899673135
AYAM,7.000000000000001,16.198363095238093,-9.198363095238093,9.198363095238093,84.60988363183812
MSTI,0.3690036900369003,16.198363095238093,-15.829359405201194,15.829359405201194,250.5686191790315
IKPM,3.0303030303030303,16.198363095238093,-13.168060064935062,13.168060064935062,173.3978058737376
RGAS,-12.5,16.198363095238093,-28.698363095238093,28.698363095238093,823.5960443461238
UDNG,-4.0,16.198363095238093,-20.198363095238093,20.198363095238093,407.9738717270762
LOPI,-21.0,16.198363095238093,-37.19836309523809,37.19836309523809,1383.7182169651715
PTPS,-43.93939393939394,16.198363095238093,-60.13775703463203,60.13775703463203,3616.5498211564345
KOKA,-16.40625,16.198363095238093,-32.60461309523809,32.60461309523809,1063.0607950901713
BREN,142.30769230769232,16.398363095238096,125.90932921245422,125.90932921245422,15853.159182730178
IOTF,-1.0,16.298363095238095,-17.298363095238095,17.298363095238095,299.2333657746953
KOCI,-40.0,16.198363095238093,-56.19836309523809,56.19836309523809,3158.256014584219
STRK,204.0,16.398363095238096,187.6016369047619,187.6016369047619,35194.37416934613
AEGS,-27.0,16.298363095238095,-43.298363095238095,43.298363095238095,1874.7482467270763
BABY,-1.5037593984962403,16.198363095238093,-17.702122493734333,17.702122493734333,313.36514078317504
RSCH,18.26086956521739,16.398363095238096,1.8625064699792944,1.8625064699792944,3.468930350714732
LMAX,33.0,16.398363095238096,16.601636904761904,16.601636904761904,275.6143479175524
GRIA,-3.333333333333333,16.198363095238093,-19.531696428571426,19.531696428571426,381.48716537786976
FOLK,-10.0,16.198363095238093,-26.198363095238093,26.198363095238093,686.3542288699333
PPRI,-40.0,16.198363095238093,-56.19836309523809,56.19836309523809,3158.256014584219
CYBR,172.0,16.398363095238096,155.6016369047619,155.6016369047619,24211.86940744136
HUMI,12.0,16.198363095238093,-4.1983630952380935,4.1983630952380935,17.626252679457185
MSIE,-34.0,16.198363095238093,-50.19836309523809,50.19836309523809,2519.875657441362
ERAL,-4.102564102564102,16.198363095238093,-20.300927197802196,20.300927197802196,412.1276450904649
HBAT,-32.407407407407405,16.198363095238093,-48.6057705026455,48.6057705026455,2362.5209261558434
MUTU,15.74074074074074,16.198363095238093,-0.457622354497353,0.457622354497353,0.209418219335701
CNMA,14.814814814814811,16.198363095238093,-1.3835482804232822,1.3835482804232822,1.914205844262221
RMKO,18.88888888888889,16.398363095238096,2.490525793650793,2.490525793650793,6.202718728839912
MAHA,93.22033898305084,16.398363095238096,76.82197588781274,76.82197588781274,5901.615979307682
