Code,Actual,Predicted,Error,NegativeError,SquaredNError
GUNA,98.66666666666669,16.279260761646828,82.38740590501986,0.0,0.0
GOLF,20.0,16.280471777567662,3.719528222432338,0.0,0.0
LABS,66.66666666666666,16.279346767287706,50.38731989937895,0.0,0.0
ISEA,87.2,16.27917170929523,70.92082829070478,0.0,0.0
PART,16.19047619047619,16.2793381141428,-0.0888619236666095,0.0888619236666095,0.007896441477730333
BLES,50.81967213114754,16.27962038837349,34.540051742774054,0.0,0.0
SPRE,28.000000000000004,16.27915069491842,11.720849305081583,0.0,0.0
BATR,-7.272727272727272,16.27931222488427,-23.55203949761154,23.55203949761154,554.698564497054
SOLA,129.0909090909091,16.27932785372883,112.81158123718026,0.0,0.0
DATA,118.08510638297874,16.279165397381124,101.80594098559762,0.0,0.0
MHKI,155.0,16.279368451374154,138.72063154862585,0.0,0.0
ATLA,112.0,16.279566915061515,95.72043308493849,0.0,0.0
AREA,-11.450381679389311,16.27926503421626,-27.729646713605568,27.729646713605568,768.9333068613761
VISI,10.0,16.27931007219428,-6.279310072194281,6.279310072194281,39.42973498276055
LIVE,16.216216216216218,16.279393849328425,-0.06317763311220759,0.06317763311220759,0.0039914133256607085
BAIK,-52.51798561151079,16.27914440471576,-68.79713001622655,68.79713001622655,4733.04509846958
HYGN,17.24137931034483,16.27927144853218,0.9621078618126475,0.0,0.0
MKAP,113.91304347826087,16.27932515636084,97.63371832190003,0.0,0.0
MEJA,-1.9417475728155336,16.27925222524371,-18.220999798059243,18.220999798059243,332.00483364087495
ALII,44.85294117647059,16.280504765445457,28.57243641102513,0.0,0.0
MPIX,-49.62686567164179,16.27918118938972,-65.90604686103151,65.90604686103151,4343.607012848482
TOSK,-23.200000000000003,16.27942298224909,-39.47942298224909,39.47942298224909,1558.6248390113376
UNTD,-27.08333333333333,16.27977906578331,-43.36311239911664,43.36311239911664,1880.359516938423
SMGA,11.428571428571429,16.279817634210126,-4.851246205638697,4.851246205638697,23.534589747723853
GRPH,-4.854368932038835,16.279133935506646,-21.13350286754548,21.13350286754548,446.62494345255305
MSJA,27.33333333333333,16.279426204216136,11.053907129117192,0.0,0.0
NICE,27.85388127853881,16.279574262642875,11.574307015895936,0.0,0.0
ACRO,3.7037037037037033,16.279344095678667,-12.575640391974964,12.575640391974964,158.14673126827225
SMLE,26.857142857142858,16.279246096895715,10.577896760247143,0.0,0.0
CGAS,93.78698224852072,16.279274199714912,77.5077080488058,0.0,0.0
MANG,-34.0,16.27937388383746,-50.279373883837465,50.279373883837465,2528.015438150717
ASLI,-43.0,16.279589335654734,-59.279589335654734,59.279589335654734,3514.0697118038706
SURI,0.5882352941176471,16.279596919334615,-15.691361625216969,15.691361625216969,246.2188296533317
AYAM,7.000000000000001,16.279390208709493,-9.279390208709493,9.279390208709493,86.10708264549362
MSTI,0.3690036900369003,16.27924831246717,-15.910244622430271,15.910244622430271,253.13588394557138
IKPM,3.0303030303030303,16.279191500339245,-13.248888470036214,13.248888470036214,175.5330456914585
RGAS,-12.5,16.279190346315946,-28.779190346315946,28.779190346315946,828.241796989485
UDNG,-4.0,16.279260761646864,-20.279260761646864,20.279260761646864,411.2484170388701
LOPI,-21.0,16.27917592085945,-37.27917592085945,37.27917592085945,1389.7369573383871
PTPS,-43.93939393939394,16.279239442467436,-60.21863338186137,60.21863338186137,3626.283806379029
KOKA,-16.40625,16.279353409147934,-32.68560340914793,32.68560340914793,1068.3486702201028
BREN,142.30769230769232,16.28120982956746,126.02648247812486,0.0,0.0
IOTF,-1.0,16.279522295944457,-17.279522295944457,17.279522295944457,298.5818907760416
KOCI,-40.0,16.279239442467496,-56.2792394424675,56.2792394424675,3167.3527922225894
STRK,204.0,16.27955796756407,187.72044203243593,0.0,0.0
AEGS,-27.0,16.279218196002454,-43.279218196002454,43.279218196002454,1873.09072765719
BABY,-1.5037593984962403,16.279303618504365,-17.783063017000604,17.783063017000604,316.2373302666146
RSCH,18.26086956521739,16.27927358809435,1.981595977123039,0.0,0.0
LMAX,33.0,16.279131843833177,16.720868156166823,0.0,0.0
GRIA,-3.333333333333333,16.28039597545166,-19.613729308784993,19.613729308784993,384.6983773982914
FOLK,-10.0,16.279290730827437,-26.279290730827437,26.279290730827437,690.6011213153529
PPRI,-40.0,16.27916539738116,-56.27916539738116,56.27916539738116,3167.3444578257854
CYBR,172.0,16.279481832143084,155.7205181678569,0.0,0.0
HUMI,12.0,16.28027560042816,-4.280275600428158,4.280275600428158,18.320759215620633
MSIE,-34.0,16.279225539057872,-50.279225539057876,50.279225539057876,2528.00052080745
ERAL,-4.102564102564102,16.279494559098097,-20.3820586616622,20.3820586616622,415.4283152874391
HBAT,-32.407407407407405,16.27915100573926,-48.68655841314666,48.68655841314666,2370.380970116742
MUTU,15.74074074074074,16.279452776961662,-0.5387120362209217,0.5387120362209217,0.29021065796929163
CNMA,14.814814814814811,16.28355883400925,-1.4687440191944372,1.4687440191944372,2.157208993919429
RMKO,18.88888888888889,16.279154892003444,2.6097339968854456,0.0,0.0
MAHA,93.22033898305084,16.281028128140786,76.93931085491005,0.0,0.0
INET,84.15841584158416,16.279702552549484,67.87871328903468,0.0,0.0
TGUK,24.545454545454547,16.2795096021216,8.265944943332947,0.0,0.0
CRSN,-5.6000000000000005,16.279303618504468,-21.87930361850447,21.87930361850447,478.70392683070276
WIDI,20.0,16.279218196002454,3.7207818039975464,0.0,0.0
GRPM,-25.833333333333336,16.27917971374482,-42.11251304707815,42.11251304707815,1773.4637551403277
AMMN,4.129793510324483,16.28286814541527,-12.153074635090789,12.153074635090789,147.69722308608712
VKTR,13.0,16.283842995874195,-3.2838429958741955,3.2838429958741955,10.783624821552012
RELF,43.333333333333336,16.279566915061526,27.05376641827181,0.0,0.0
KLAS,-8.21917808219178,16.279277869404414,-24.498455951596192,24.498455951596192,600.1743440122989
MAXI,-38.0,16.279477972323484,-54.279477972323484,54.279477972323484,2946.2617289479504
MPXL,19.444444444444446,16.279218196002446,3.165226248442,0.0,0.0
JATI,114.0,16.279326235171027,97.72067376482897,0.0,0.0
RAAM,141.45299145299143,16.279446769475754,125.17354468351567,0.0,0.0
DOOH,-6.0,16.279724274228993,-22.279724274228993,22.279724274228993,496.38611373566863
TYRE,8.695652173913043,16.27934676728768,-7.583694593374638,7.583694593374638,57.51242368557971
SMIL,59.0,16.279817634210133,42.72018236578987,0.0,0.0
AWAN,204.0,16.279368451374197,187.72063154862582,0.0,0.0
MENN,-32.05128205128205,16.279231020176265,-48.33051307145831,48.33051307145831,2335.838493750403
PIPA,71.42857142857143,16.279444923096793,55.14912650547464,0.0,0.0
NCKL,12.0,16.28333222863165,-4.28333222863165,4.28333222863165,18.34693498083458
GTRA,70.66666666666667,16.279209241200217,54.38745742546645,0.0,0.0
HAJJ,38.57142857142858,16.279341184669434,22.292087386759142,0.0,0.0
NSSS,4.724409448818897,16.280711762849936,-11.55630231403104,11.55630231403104,133.54812317327918
CUAN,140.9090909090909,16.279789843944712,124.6293010651462,0.0,0.0
SAGE,50.0,16.27975295807781,33.72024704192219,0.0,0.0
TRON,47.77777777777778,16.279368451374136,31.498409326403642,0.0,0.0
PTMP,15.833333333333332,16.27939020870948,-0.44605687537614713,0.44605687537614713,0.19896673607033166
BDKR,15.0,16.279349408826114,-1.2793494088261141,1.2793494088261141,1.6367349098637278
FUTR,52.0,16.27960192356663,35.72039807643337,0.0,0.0
PGEO,-4.571428571428571,16.284995638401757,-20.85642420983033,20.85642420983033,434.9904308203967
KING,-19.230769230769237,16.279269309698524,-35.51003854046776,35.51003854046776,1260.9628371455058
CHIP,45.0,16.279133935506604,28.720866064493396,0.0,0.0
HALO,22.0,16.279566915061515,5.720433084938485,0.0,0.0
VAST,3.7037037037037033,16.279346767287702,-12.575643063584,12.575643063584,158.14679846266836
HILL,24.8,16.279236165776563,8.520763834223438,0.0,0.0
PACK,-30.8641975308642,16.27917929219715,-47.143376823061345,47.143376823061345,2222.4979782811574
IRSX,-7.920792079207921,16.279477972323484,-24.200270051531405,24.200270051531405,585.6530705670478
FWCT,9.322033898305085,16.279207600009975,-6.957173701704891,6.957173701704891,48.40226591569413
NAYZ,-25.0,16.279265034216284,-41.27926503421628,41.27926503421628,1703.9777217650708
PEVE,54.36241610738255,16.27920463638416,38.08321147099839,0.0,0.0
LAJU,31.0,16.27934676728771,14.72065323271229,0.0,0.0
BMBL,-33.51063829787234,16.279167500628358,-49.789805798500694,49.789805798500694,2479.0247614524133
CBPE,28.000000000000004,16.279163820420873,11.72083617957913,0.0,0.0
SOUL,-33.63636363636363,16.279163294857977,-49.915526931221606,49.915526931221606,2491.5598288215097
SUNI,0.6666666666666667,16.27930361850434,-15.612636951837674,15.612636951837674,243.75443258988716
WINE,151.1627906976744,16.279337249471876,134.88345344820254,0.0,0.0
ELIT,39.16666666666666,16.27926076164685,22.887405905019808,0.0,0.0
BEER,19.090909090909093,16.279390208709405,2.811518882199689,0.0,0.0
CBRE,57.407407407407405,16.279363240516506,41.1280441668909,0.0,0.0
VTNY,8.333333333333332,16.279451422497385,-7.946118089164052,7.946118089164052,63.14079268694017
PADA,-3.0,16.279433943483387,-19.279433943483387,19.279433943483387,371.69657318113934
MMIX,24.210526315789476,16.27930361850442,7.931222697285055,0.0,0.0
ISAP,-32.29166666666667,16.279702552549487,-48.57136921921616,48.57136921921616,2359.177907829419
BELI,7.555555555555555,16.29160300091856,-8.736047445363004,8.736047445363004,76.31852496763348
KETR,-2.0,16.279229320087108,-18.279229320087108,18.279229320087108,334.1302245363322
ZATA,202.0,16.279794468158332,185.72020553184166,0.0,0.0
KDTN,10.0,16.279154892003664,-6.279154892003664,6.279154892003664,39.42778615777355
NINE,-30.666666666666664,16.27923178536807,-46.94589845203473,46.94589845203473,2203.917381468757
MKTR,5.0,16.28017418010905,-11.28017418010905,11.28017418010905,127.24232953359888
PRAY,-18.33333333333333,16.279176857188304,-34.61251019052163,34.61251019052163,1198.025861688964
CBUT,24.637681159420293,16.279314378303997,8.358366781116295,0.0,0.0
PDPP,-10.67668914794922,16.27926076164679,-26.955949909596008,26.955949909596008,726.623235528649
BSBK,190.0,16.28029683324899,173.719703166751,0.0,0.0
OMED,23.52941176470588,16.2809705888612,7.248441175844679,0.0,0.0
COAL,204.0,16.279589335654734,187.72041066434525,0.0,0.0
MEDS,106.4,16.279181189389828,90.12081881061017,0.0,0.0
BUAH,18.04123711340206,16.279133935506437,1.762103177895625,0.0,0.0
EURO,0.0,16.27926076164689,-16.27926076164689,16.27926076164689,265.01433094569603
CRAB,44.0,16.27921395542729,27.72078604457271,0.0,0.0
KLIN,-23.0,16.27914650072681,-39.27914650072681,39.27914650072681,1542.8513498255593
KKES,13.333333333333334,16.279239442467507,-2.9459061091341727,2.9459061091341727,8.678362803834041
TOOL,9.448818897637794,16.27922243948257,-6.830403541844776,6.830403541844776,46.654412544445655
RAFI,33.33333333333333,16.279455080203913,17.053878253129415,0.0,0.0
ELPI,47.0,16.27952763462213,30.72047236537787,0.0,0.0
JARR,80.0,16.27957719691387,63.72042280308613,0.0,0.0
RCCC,-8.289241084346065,16.279113051279456,-24.56835413562552,24.56835413562552,603.6040249335075
AMMS,1.0,16.27915069491844,-15.279150694918439,15.279150694918439,233.4524459580266
KRYA,-18.4,16.27918646244958,-34.67918646244958,34.67918646244958,1202.645973697346
AXIO,50.0,16.279495722390347,33.72050427760965,0.0,0.0
HATM,16.875,16.279575874407392,0.5954241255926078,0.0,0.0
DEWI,59.0,16.27934676728771,42.720653232712294,0.0,0.0
GULA,-4.0,16.279139826401014,-20.279139826401014,20.279139826401014,411.2435120987237
CHEM,-16.0,16.279260761646828,-32.279260761646825,32.279260761646825,1041.9506753183923
TRGU,140.47619047619045,16.279702552549402,124.19648792364106,0.0,0.0
SWID,-12.5,16.27919279610194,-28.77919279610194,28.77919279610194,828.2419379952057
ASHA,204.0,16.279589335654734,187.72041066434525,0.0,0.0
OLIV,1.0,16.279218196002454,-15.279218196002454,15.279218196002454,233.45450868105246
IBOS,18.0,16.279751744109515,1.7202482558904855,0.0,0.0
WINR,126.0,16.279702552549484,109.72029744745052,0.0,0.0
MTMH,24.609375,16.279156581222665,8.330218418777335,0.0,0.0
TLDN,2.586206896551724,16.280026314036352,-13.693819417484628,13.693819417484628,187.52069023867904
GOTO,11.242603550295858,16.327164239086947,-5.08456068879109,5.08456068879109,25.85275739799972
SICO,-9.565217391304348,16.279163294857888,-25.844380686162236,25.844380686162236,667.9320130512756
