Model,BestParams,MANE,MSNE,RMSNE,R²
LinearRegression,{},6.9393766839709805,140.26271679257454,11.843256173560317,0.5241126877124869
Ridge,{'alpha': 10},7.022391548454885,141.8296024148531,11.909223417790646,0.5187965138603092
Lasso,{'alpha': 1},7.0837154070254265,141.88628090503872,11.91160278489166,0.5186042134758896
DecisionTree,{'max_depth': 10},7.213046076311106,192.17076268546373,13.86256695873689,0.34799760160165194
RandomForest,"{'max_depth': 10, 'n_estimators': 50}",6.335196453170472,146.53483187405513,12.105157242847163,0.5028324782830786
SVR,"{'C': 0.1, 'gamma': 'auto'}",9.782856279654796,215.3180299910377,14.67371902385478,0.2694628984621119
XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",7.552905272129831,209.44476622838437,14.472206681373244,0.2893898738571351
