Model,BestParams,Accuracy,Precision,Recall,F1 Score
LogisticRegression,{'C': 0.1},0.25,0.041666666666666664,0.16666666666666666,0.06666666666666667
DecisionTree,{'max_depth': 3},0.5,0.27380952380952384,0.31150793650793646,0.28297755883962783
RandomForest,"{'max_depth': 10, 'n_estimators': 100}",0.5555555555555556,0.4833333333333334,0.46759259259259256,0.4480892032616171
SVC,"{'C': 1, 'gamma': 'scale'}",0.2777777777777778,0.047619047619047616,0.15151515151515152,0.07246376811594203
XGBClassifier,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}",0.4166666666666667,0.38404452690166974,0.3358585858585859,0.3447957839262187
