Model,BestParams,MAE,MSE,RMSE,R²
LinearRegression,{},40.63243392228903,2760.0128159939163,52.53582412025071,0.1092262729224196
Ridge,{'alpha': 10},40.665851737552124,2765.610259492949,52.58906977208238,0.1074197394241525
Lasso,{'alpha': 10},43.162574656130744,3098.0363527979034,55.66000676246728,0.0001316759792521216
DecisionTree,{'max_depth': 3},41.1208001923699,2770.9097891457986,52.63943188471736,0.10570935541677717
RandomForest,"{'max_depth': 5, 'n_estimators': 100}",40.42959658873545,2746.921832341895,52.4110850139729,0.1134512910930775
SVR,"{'C': 0.1, 'gamma': 'auto'}",38.25704676878758,3119.917464346945,55.85622135757972,-0.006930290970390995
XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",44.118504153826336,3416.8496792365277,58.45382518908859,-0.10276296762096848
