Model,BestParams,MAE,MSE,RMSE,R²
LinearRegression,{},41.17659541683248,3474.7695538288626,58.94717596143909,0.09139890182054233
Ridge,{'alpha': 10},41.19495430919432,3477.5513103879184,58.970766574531815,0.0906715134210323
Lasso,{'alpha': 10},43.15150019810648,3761.202950823893,61.32864706500457,0.016500784108482214
DecisionTree,{'max_depth': 3},44.59164413036379,3399.3445440285595,58.30389818895954,0.11112143181083678
RandomForest,"{'max_depth': 3, 'n_estimators': 100}",42.14009006693559,3102.8582232346007,55.70330531696123,0.18864824114175738
SVR,"{'C': 10, 'gamma': 'auto'}",38.360076666630896,3857.499009345176,62.10876757226129,-0.008679217951332197
XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",42.389300296145066,3225.0432627871255,56.78946436432664,0.15669865156503449
