Model,BestParams,MANE,MSNE,RMSNE,R²
LinearRegression,{},30.35471051734909,1719.1851403749565,41.463057537704046,0.620274867399292
Ridge,{'alpha': 10},30.366565644895932,1712.8846436333645,41.387010566521525,0.6216664900375204
Lasso,{'alpha': 10},31.664609817641526,1812.2175027600542,42.57014802370382,0.5997263381494793
DecisionTree,{'max_depth': 3},38.327056027024355,3981.506933976095,63.099183306728264,0.12058439027400614
RandomForest,"{'max_depth': 3, 'n_estimators': 100}",30.465585237297017,1842.940167395411,42.9294790021427,0.5929404675480363
SVR,"{'C': 0.1, 'gamma': 'auto'}",16.326651597854667,660.4653127164253,25.69951969816606,0.8541196799812301
XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}",30.799239850214715,1599.8789119112998,39.99848637025281,0.6466266385724488
