Model,BestParams,Accuracy,Precision,Recall,F1 Score
LogisticRegression,{'C': 0.1},0.5277777777777778,0.13194444444444445,0.25,0.17272727272727273
DecisionTree,{'max_depth': 3},0.5833333333333334,0.3035714285714286,0.3431174089068826,0.30865800865800863
RandomForest,"{'max_depth': 3, 'n_estimators': 50}",0.6666666666666666,0.33116883116883117,0.37044534412955465,0.34959349593495936
SVC,"{'C': 10, 'gamma': 'scale'}",0.4722222222222222,0.1875,0.2297570850202429,0.18627450980392157
XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",0.5,0.2621527777777778,0.27935222672064774,0.26933830382106244
