Model,BestParams,MANE,MSNE,RMSNE,R²
LinearRegression,{},26.574997147761366,1390.883023414515,37.29454415078049,0.6363045597884174
Ridge,{'alpha': 10},26.585697662009473,1385.7407352865812,37.22553875079018,0.6376491924519123
Lasso,{'alpha': 10},28.160423254672995,1470.1770830630567,38.34288829839318,0.6155703302058013
DecisionTree,{'max_depth': 3},27.498507025180565,1651.4987289503813,40.63863591399669,0.5681573884193762
RandomForest,"{'max_depth': 3, 'n_estimators': 100}",26.733785660140025,1473.1565153861754,38.381721110265175,0.6147912525032946
SVR,"{'C': 0.1, 'gamma': 'auto'}",16.033331661275685,629.5364209730993,25.090564381318714,0.835385491158734
XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}",27.515254803209306,1286.0171647446814,35.86108147762253,0.663725438460487
