Code,Actual,Predicted,Error,NegativeError,SquaredNError
GUNA,161.33333333333331,20.099890755754977,141.23344257757833,0.0,0.0
GOLF,31.0,20.101405744291807,10.898594255708193,0.0,0.0
LABS,109.80392156862746,20.09999674107292,89.70392482755454,0.0,0.0
ISEA,88.0,20.09978134009723,67.90021865990278,0.0,0.0
PART,18.09523809523809,20.09998606425773,-2.0047479690196397,2.0047479690196397,4.0190144192883706
BLES,59.56284153005464,20.100335810095192,39.46250571995945,0.0,0.0
SPRE,28.000000000000004,20.099755570336168,7.900244429663836,0.0,0.0
BATR,-3.636363636363636,20.099954138247437,-23.736317774611074,23.736317774611074,563.4127814973176
SOLA,129.0909090909091,20.09997340815069,108.9909356827584,0.0,0.0
DATA,128.72340425531914,20.09977359780903,108.6236306575101,0.0,0.0
MHKI,161.25,20.100023509306865,141.14997649069312,0.0,0.0
ATLA,188.0,20.100269333346933,167.89973066665306,0.0,0.0
AREA,-10.687022900763358,20.09989601373686,-30.78691891450022,30.78691891450022,947.8343762480114
VISI,10.833333333333334,20.09995148481496,-9.266618151481625,9.266618151481625,85.87021196536872
LIVE,17.56756756756757,20.10005488555329,-2.532487317985723,2.532487317985723,6.41349201575852
BAIK,-44.24460431654676,20.099747860499768,-64.34435217704653,64.34435217704653,4140.195657083793
HYGN,22.75862068965517,20.099903908851264,2.658716780803907,0.0,0.0
MKAP,131.30434782608694,20.099970081675448,111.20437774441149,0.0,0.0
MEJA,2.912621359223301,20.09988025281517,-17.187258893591867,17.187258893591867,295.40186827535274
ALII,56.61764705882353,20.101447571692887,36.51619948713064,0.0,0.0
MPIX,-36.56716417910448,20.099792971792713,-56.66695715089719,56.66695715089719,3211.144032741618
TOSK,-12.0,20.100090906541215,-32.10009090654121,32.10009090654121,1030.4158362082098
UNTD,-24.58333333333333,20.10053363781644,-44.68386697114977,44.68386697114977,1996.6479674954091
SMGA,23.809523809523807,20.100581844081518,3.708941965442289,0.0,0.0
GRPH,3.883495145631068,20.09973503239664,-16.21623988676557,16.21623988676557,262.9664360651267
MSJA,27.33333333333333,20.100094892284933,7.233238441048396,0.0,0.0
NICE,104.337899543379,20.10027846180093,84.23762108157807,0.0,0.0
ACRO,10.185185185185183,20.099993444350208,-9.914808259165024,9.914808259165024,98.30342281600699
SMLE,26.857142857142858,20.099872714550955,6.757270142591903,0.0,0.0
CGAS,93.78698224852072,20.099907295688638,73.68707495283208,0.0,0.0
MANG,-29.0,20.100030218379864,-49.100030218379864,49.100030218379864,2410.812967445816
ASLI,-40.0,20.100297194039285,-60.100297194039285,60.100297194039285,3612.045722811846
SURI,1.1764705882352942,20.10030662176839,-18.923836033533096,18.923836033533096,358.11157022404564
AYAM,12.0,20.100050386452054,-8.100050386452054,8.100050386452054,65.61081626306206
MSTI,4.059040590405904,20.09987543966597,-16.040834849260065,16.040834849260065,257.3083826612362
IKPM,6.666666666666667,20.099805627348875,-13.433138960682207,13.433138960682207,180.44922233699825
RGAS,-10.833333333333334,20.099804210683384,-30.933137544016716,30.933137544016716,956.8589983170565
UDNG,-2.0,20.09989075575502,-22.09989075575502,22.09989075575502,488.4051714163062
