Model,BestParams,MAE,MSE,RMSE,R²
LinearRegression,{},24.94637816656113,855.2003194572848,29.243808224259794,0.29806644968757734
Ridge,{'alpha': 1},24.967641269244883,856.4659988713372,29.265440349862107,0.29702760203463563
Lasso,{'alpha': 0.1},24.97643367000041,856.7967638389871,29.271090923281065,0.2967561159011777
DecisionTree,{'max_depth': 3},25.264509095894294,890.5036075821904,29.841307068930316,0.26909012471737237
RandomForest,"{'max_depth': 10, 'n_estimators': 100}",25.43485750619112,967.5436610529082,31.105363863052755,0.20585698855194456
SVR,"{'C': 0.1, 'gamma': 'auto'}",29.79046251176649,1236.2337008983964,35.16011520030042,-0.014679123644573355
XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",28.25246791334394,1322.461081574841,36.36565799727596,-0.08545305821322247
