Code,Actual,Predicted,Error,NegativeError,SquaredNError
GUNA,34.66666666666667,31.477064806150842,3.189601860515829,0.0,0.0
GOLF,35.0,31.477064806150842,3.5229351938491575,0.0,0.0
LABS,34.31372549019608,31.477064806150842,2.836660684045235,0.0,0.0
ISEA,24.8,23.68662946940404,1.1133705305959616,0.0,0.0
PART,34.285714285714285,31.477064806150842,2.8086494795634422,0.0,0.0
BLES,34.42622950819672,31.477064806150842,2.949164702045877,0.0,0.0
SPRE,9.6,9.87077441077441,-0.2707744107744112,0.2707744107744112,0.07331878153022958
BATR,34.54545454545455,31.477064806150842,3.0683897393037043,0.0,0.0
SOLA,34.54545454545455,31.477064806150842,3.0683897393037043,0.0,0.0
DATA,34.04255319148936,31.477064806150842,2.5654883853385186,0.0,0.0
MHKI,35.0,31.477064806150842,3.5229351938491575,0.0,0.0
ATLA,35.0,31.477064806150842,3.5229351938491575,0.0,0.0
AREA,30.53435114503817,31.477064806150842,-0.9427136611126734,0.9427136611126734,0.8887090468484604
VISI,35.0,31.477064806150842,3.5229351938491575,0.0,0.0
LIVE,34.45945945945946,31.477064806150842,2.982394653308617,0.0,0.0
BAIK,24.46043165467626,23.68662946940404,0.7738021852722206,0.0,0.0
HYGN,34.48275862068966,31.477064806150842,3.005693814538816,0.0,0.0
MKAP,34.78260869565217,31.477064806150842,3.3055438895013296,0.0,0.0
MEJA,9.70873786407767,2.1759571018830277,7.532780762194641,0.0,0.0
ALII,25.0,23.68662946940404,1.3133705305959609,0.0,0.0
MPIX,24.62686567164179,23.68662946940404,0.9402362022377524,0.0,0.0
TOSK,34.4,31.477064806150842,2.922935193849156,0.0,0.0
UNTD,16.666666666666664,23.68662946940404,-7.019962802737375,7.019962802737375,49.27987775181638
SMGA,34.285714285714285,31.477064806150842,2.8086494795634422,0.0,0.0
GRPH,30.097087378640776,31.477064806150842,-1.3799774275100667,1.3799774275100667,1.9043377004373014
MSJA,24.0,23.68662946940404,0.31337053059596087,0.0,0.0
NICE,24.42922374429224,23.68662946940404,0.7425942748882015,0.0,0.0
ACRO,34.25925925925926,31.477064806150842,2.782194453108417,0.0,0.0
SMLE,34.85714285714286,31.477064806150842,3.3800780509920187,0.0,0.0
CGAS,24.85207100591716,23.68662946940404,1.1654415365131214,0.0,0.0
MANG,10.0,2.1759571018830277,7.824042898116972,0.0,0.0
ASLI,33.0,31.477064806150842,1.5229351938491575,0.0,0.0
SURI,11.76470588235294,31.477064806150842,-19.7123589237979,19.7123589237979,388.57709434063474
