Code,Actual,Predicted,Error,NegativeError,SquaredNError
GUNA,68.0,26.062106675194485,41.937893324805515,0.0,0.0
GOLF,36.0,26.062106675194485,9.937893324805515,0.0,0.0
LABS,80.3921568627451,26.062111392294312,54.330045470450784,0.0,0.0
ISEA,28.000000000000004,26.062106675194485,1.9378933248055183,0.0,0.0
PART,4.761904761904762,6.062106675194485,-1.3002019132897233,1.3002019132897233,1.6905250153222573
BLES,67.21311475409836,26.062106675194485,41.15100807890387,0.0,0.0
SPRE,20.0,19.90021582236593,0.09978417763407066,0.0,0.0
BATR,1.818181818181818,6.062106675194485,-4.243924857012667,4.243924857012667,18.010898191969986
SOLA,31.818181818181817,26.062106675194485,5.756075142987331,0.0,0.0
DATA,67.02127659574468,16.062106675194485,50.959169920550195,0.0,0.0
MHKI,68.75,26.062106675194485,42.687893324805515,0.0,0.0
ATLA,82.0,26.062106675194485,55.937893324805515,0.0,0.0
AREA,-17.557251908396946,6.062106675194485,-23.61935858359143,23.61935858359143,557.8740999002742
VISI,4.166666666666666,6.062106675194485,-1.8954400085278191,1.8954400085278191,3.592692825927939
LIVE,10.81081081081081,10.911026633176743,-0.10021582236593218,0.10021582236593218,0.010043211052480074
BAIK,-43.16546762589928,16.062106675194485,-59.22757430109377,59.22757430109377,3507.9055575915827
HYGN,-2.7586206896551726,16.062106675194485,-18.82072736484966,18.82072736484966,354.2197785420008
MKAP,80.8695652173913,26.062106675194485,54.80745854219681,0.0,0.0
MEJA,1.9417475728155336,16.062106675194485,-14.120359102378952,14.120359102378952,199.38454118013613
ALII,47.05882352941176,16.062106675194485,30.996716854217276,0.0,0.0
MPIX,-5.970149253731343,6.062106675194485,-12.032255928925828,12.032255928925828,144.77518273917073
TOSK,-9.6,6.062106675194485,-15.662106675194485,15.662106675194485,245.30158550517163
UNTD,-16.666666666666664,6.062106675194485,-22.72877334186115,22.72877334186115,516.597137625698
SMGA,22.857142857142858,22.75735867950879,0.0997841776340671,0.0,0.0
GRPH,4.854368932038835,16.062106675194485,-11.20773774315565,11.20773774315565,125.61338531935571
MSJA,42.66666666666667,26.062106675194485,16.604559991472186,0.0,0.0
NICE,35.84474885844749,26.062106675194485,9.782642183253003,0.0,0.0
ACRO,13.88888888888889,13.989153534994898,-0.10026464610600883,0.10026464610600883,0.010052999258763191
SMLE,68.0,26.062106675194485,41.937893324805515,0.0,0.0
CGAS,27.2189349112426,16.062106675194485,11.156828236048113,0.0,0.0
MANG,-19.0,16.062106675194485,-35.062106675194485,35.062106675194485,1229.3513245027177
ASLI,-40.0,6.404287858311145,-46.40428785831114,46.40428785831114,2153.357931637003
SURI,0.0,6.062106675194485,-6.062106675194485,6.062106675194485,36.74913734143754
AYAM,6.0,6.099637739539716,-0.09963773953971611,0.09963773953971611,0.009927679140584306
MSTI,1.107011070110701,6.062106675194485,-4.955095605083784,4.955095605083784,24.55297245552063
IKPM,3.0303030303030303,6.062106675194485,-3.031803644891455,3.031803644891455,9.19183334117711
RGAS,-19.166666666666668,6.062106675194485,-25.228773341861153,25.228773341861153,636.4910043350039
UDNG,6.0,6.099637739539716,-0.09963773953971611,0.09963773953971611,0.009927679140584306
LOPI,-19.0,6.062106675194485,-25.062106675194485,25.062106675194485,628.109190998828
PTPS,-47.474747474747474,6.062106675194485,-53.53685414994196,53.53685414994196,2866.1947522721575
KOKA,10.9375,11.037764646106012,-0.10026464610601238,0.10026464610601238,0.010052999258763903
BREN,55.76923076923077,26.062106675194485,29.70712409403628,0.0,0.0
IOTF,3.0,16.062106675194485,-13.062106675194485,13.062106675194485,170.61863079416034
KOCI,-43.333333333333336,6.062106675194485,-49.39544000852782,49.39544000852782,2439.909493636071
STRK,82.0,26.062106675194485,55.937893324805515,0.0,0.0
AEGS,-14.000000000000002,16.062106675194485,-30.062106675194485,30.062106675194485,903.7302577507728
BABY,1.5037593984962403,6.062106675194485,-4.558347276698245,4.558347276698245,20.77852989498231
RSCH,21.73913043478261,21.639244727566567,0.09988570721604262,0.0,0.0
LMAX,12.0,12.100114292783964,-0.10011429278396378,0.10011429278396378,0.01002287161963322
GRIA,0.8333333333333334,6.062106675194485,-5.228773341861152,5.228773341861152,27.340070660557842
FOLK,-3.0,6.062106675194485,-9.062106675194485,9.062106675194485,82.12177739260444
PPRI,-27.142857142857142,6.062106675194485,-33.204963818051624,33.204963818051624,1102.5696221581175
CYBR,82.0,26.062106675194485,55.937893324805515,0.0,0.0
HUMI,1.0,6.062106675194485,-5.062106675194485,5.062106675194485,25.624923991048565
MSIE,-19.0,6.062106675194485,-25.062106675194485,25.062106675194485,628.109190998828
ERAL,-5.128205128205128,6.062106675194485,-11.190311803399613,11.190311803399613,125.22307825730469
HBAT,-17.59259259259259,6.062106675194485,-23.654699267787077,23.654699267787077,559.5447974494465
MUTU,35.18518518518518,26.062106675194485,9.123078509990698,0.0,0.0
CNMA,16.296296296296298,16.196560942402307,0.09973535389399046,0.0,0.0
RMKO,17.77777777777778,17.67793799083998,0.0998397869377996,0.0,0.0
MAHA,81.35593220338984,26.062106675194485,55.293825528195356,0.0,0.0
INET,71.28712871287128,26.062106675194485,45.225022037676794,0.0,0.0
TGUK,14.545454545454543,14.645568838238503,-0.10011429278396022,0.10011429278396022,0.01002287161963251
CRSN,-2.4,6.062106675194485,-8.462106675194486,8.462106675194486,71.60724938237107
WIDI,21.0,20.900264646106013,0.09973535389398691,0.0,0.0
GRPM,-18.33333333333333,16.062106675194485,-34.395440008527814,34.395440008527814,1183.0462933802357
