Model,BestParams,MANE,MSNE,RMSNE,R²
LinearRegression,{},23.123168845845605,1027.0235691462585,32.047208445452135,0.5442435745255974
Ridge,{'alpha': 10},23.283046234499885,1029.7651766789058,32.08995445118154,0.5430269468973028
Lasso,{'alpha': 10},25.668307392986726,1138.5469129211208,33.74236080835366,0.4947534926591841
DecisionTree,{'max_depth': 3},22.760971113334705,1301.6372210133998,36.07820978116015,0.4223798314515407
RandomForest,"{'max_depth': 3, 'n_estimators': 100}",23.251576783940386,1187.5530380858033,34.460891429064965,0.4730063223873535
SVR,"{'C': 0.1, 'gamma': 'auto'}",15.56536546088948,527.2024247985963,22.960889024569504,0.7660463694836315
XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",24.95620408881405,1058.4814829444922,32.53431239390948,0.5302836745035531
