Model,BestParams,Accuracy,Precision,Recall,F1 Score
LogisticRegression,{'C': 0.1},0.25,0.0625,0.25,0.1
DecisionTree,{'max_depth': 10},0.4722222222222222,0.4875,0.41752136752136754,0.4162942320837058
RandomForest,"{'max_depth': 5, 'n_estimators': 50}",0.4722222222222222,0.4979500891265597,0.44829059829059825,0.4416666666666667
SVC,"{'C': 10, 'gamma': 'scale'}",0.3611111111111111,0.34090909090909094,0.25854700854700857,0.18043478260869567
XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.4444444444444444,0.42083333333333334,0.38119658119658123,0.37998153806977336
