Model,BestParams,MANE,MSNE,RMSNE,R²
LinearRegression,{},27.554075059947014,1383.880586927854,37.200545519223965,0.553351491623495
Ridge,{'alpha': 10},27.589329452150448,1383.1014114301888,37.19007140931822,0.5536029711059611
Lasso,{'alpha': 10},29.55959707951374,1518.7674883658135,38.97136754549182,0.5098166419436256
DecisionTree,{'max_depth': 3},29.730565932235777,2143.684049913688,46.299935744163704,0.30812434803352695
RandomForest,"{'max_depth': 3, 'n_estimators': 50}",26.185018879846265,1426.6873970486715,37.771515683761905,0.5395355612105508
SVR,"{'C': 0.1, 'gamma': 'scale'}",15.69950367496939,590.2579879505574,24.2952256204909,0.809493786988734
XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",29.20568531647714,1439.7086053627324,37.94349226629953,0.53533295635745
