Model,BestParams,MANE,MSNE,RMSNE,R²
LinearRegression,{},3.3041815522873725,40.11413462467674,6.333572027274714,0.7455346681372776
Ridge,{'alpha': 0.1},3.3050808184805645,40.12481830532174,6.334415387809813,0.7454668958578483
Lasso,{'alpha': 0.1},3.3202303690887596,40.32494635385889,6.350192623366546,0.7441973770021502
DecisionTree,{'max_depth': 3},2.0720965137433662,32.51303825983523,5.702020541863667,0.7937524728362245
RandomForest,"{'max_depth': 10, 'n_estimators': 100}",2.2007712227747245,36.04259355756427,6.003548413860279,0.7713626227604874
SVR,"{'C': 10, 'gamma': 'auto'}",8.270944993066854,165.04800676896238,12.84710110371061,-0.046987457381384656
XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",2.253653148755026,37.22907291873552,6.101563153711966,0.7638361519238714
