Model,BestParams,Accuracy,Precision,Recall,F1 Score
LogisticRegression,{'C': 0.1},0.25,0.0625,0.25,0.1
DecisionTree,{'max_depth': 10},0.4166666666666667,0.3908653846153846,0.37905982905982905,0.37608444187391554
RandomForest,"{'max_depth': 5, 'n_estimators': 50}",0.5,0.5012820512820513,0.46239316239316236,0.45503108003108006
SVC,"{'C': 10, 'gamma': 'scale'}",0.3611111111111111,0.34090909090909094,0.25854700854700857,0.18043478260869567
XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.4444444444444444,0.42083333333333334,0.38119658119658123,0.37998153806977336
