Code,Name,Date,Price,Share,Amount,Warran,Underwriter,Sector,Subsector,Field,Website,Prospectus,Summary_Prospectus,Alamat,Image,Papan Pencatatan
ASLC,PT Autopedia Sukses Lestari Tbk,25 Jan 2022,Rp256,20%,"2,549,271,000 lot",0,LG - TRIMEGAH SEKURITAS INDONESIA TBK.,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Balai lelang melalui Entitas Anak,https://www.autopedia.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/ASLC/prospectus/ycs2ce9nqc.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/ASLC/summary-prospectus/prwns8hndy.pdf,"Gedung Graha Kirana Lt.6 Jl. Yos Sudarso No. 88 Sunter, Jakarta Utara 14350",https://storage.googleapis.com/assets.trading.stockbit.com/company/ASLC/logo/vzbuhjs2u6.png,Pengembangan
NETV,PT Net Visi Media Tbk,26 Jan 2022,Rp196,4.37%,"765,306,100 lot",0,XA - NH KORINDO SEKURITAS INDONESIA,Barang Konsumen Non-Primer,Media & Hiburan,Industri Media,https://www.netvisimedia.co.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/NETV/prospectus/cn815hszn7.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/NETV/summary-prospectus/judacbjbo7.pdf,"Graha Mitra Lt.4 Jl. Jend. Gatot Subroto Kav. 21 RT 003 RW 002, Karet Semanggi, Setiabudi",https://storage.googleapis.com/assets.trading.stockbit.com/company/NETV/logo/03731hqm01.jpg,Pemantauan Khusus
SEMA,PT Semacom Integrated Tbk,10 Jan 2022,Rp180,25.76%,"347,000,000 lot",0,XA - NH KORINDO SEKURITAS INDONESIA,Perindustrian,Barang Perindustrian,"Produksi Panel, Perakitan Baterai Listrik dan Energi Terbarukan",https://www.semacom-integrated.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/SEMA/prospectus/nhdvx0doqb.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/SEMA/summary-prospectus/ic5w26yjsy.pdf,"Jl. Intan I RT 001/001, Kp. Poncol, Ds. Curug, Kec. Gunung Sindur, Bogor 16340, Jawa Barat",https://storage.googleapis.com/assets.trading.stockbit.com/company/SEMA/logo/6ksipsl9m7.png,Pengembangan
ADMR,PT Adaro Minerals Indonesia Tbk,03 Jan 2022,Rp100,15%,"6,048,580,000 lot",0,KI - CIPTADANA SEKURITAS ASIA,Energi,"Minyak, Gas, & Batu Bara","Pertambangan batu bara metalurgi melalui Perusahaan Anak, jasa pertambangan dan konsultasi manajemen",https://www.adarominerals.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/ADMR/prospectus/zog2rui3qf.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/ADMR/summary-prospectus/w9tn73phxd.pdf,"Cyber 2 Tower Lantai 34, Jl. H.R. Rasuna Said Blok X-5 No.13, Jakarta 12950 - Indonesia",https://storage.googleapis.com/assets.trading.stockbit.com/company/ADMR/logo/i1vafrikjt.png,Utama
IPPE,PT Indo Pureco Pratama Tbk,09 Dec 2021,Rp100,21%,"1,000,000,000 lot",0,HD - KGI SEKURITAS INDONESIA,Barang Konsumen Non-Primer,Barang Rumah Tangga,Industri minyak kelapa dan produk dari kelapa serta perdagangan,https://indopureco.com/,https://storage.googleapis.com/assets.trading.stockbit.com/company/IPPE/prospectus/ixy5fpergq.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/IPPE/summary-prospectus/q6pswx4j5c.pdf,"Batununggul 1, Balingbing, Pagaden Barat. Subang, Jawa Barat, 41252",https://storage.googleapis.com/assets.trading.stockbit.com/company/IPPE/logo/oq202iwt1c.jpg,Pemantauan Khusus
DRMA,PT Dharma Polimetal Tbk,20 Dec 2021,Rp500,15%,"705,882,300 lot",0,AZ - SUCOR SEKURITAS,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Manufaktur Komponen Kendaraan Bermotor,https://www.dharmagroup.co.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/DRMA/prospectus/cko9dgpu1j.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/DRMA/summary-prospectus/wyqq7yzsql.pdf,"Jl. Angsana Raya Blok A9 No. 8 Delta Silicon I Kawasan Industri Lippo Cikarang Kelurahan Sukaresmi, Kecamatan Cikarang Selatan, Kabupaten Bekasi Jawa Barat - Indonesia",https://storage.googleapis.com/assets.trading.stockbit.com/company/DRMA/logo/j8qavib0k8.png,Utama
OBMD,PT OBM Drilchem Tbk,08 Dec 2021,Rp180,24%,"182,000,000 lot",0,HD - KGI SEKURITAS INDONESIA,Barang Baku,Barang Baku,Memproduksi bahan adiktif untuk mencegah kerugian dalam aktivitas pengeboran dengan teknologi serat,http://www.drilchem.com/,https://storage.googleapis.com/assets.trading.stockbit.com/company/OBMD/prospectus/e3yesm6wm8.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/OBMD/summary-prospectus/02vllbgcvw.pdf,"Dipo Business Center 7th floor, Suite 7E Jl. Gatot Subroto Kav. 50-52, Jakarta 10260",https://storage.googleapis.com/assets.trading.stockbit.com/company/OBMD/logo/pscfiymrcf.jpg,Pengembangan
NASI,PT Wahana Inti Makmur Tbk,13 Dec 2021,Rp155,24.77%,"200,000,000 lot",0,AI - UOB KAY HIAN SEKURITAS,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Bergerak dalam bidang Produsen dan Pemasok Beras,https://www.wahanaintimakmur.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/NASI/prospectus/3esazt0ows.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/NASI/summary-prospectus/04i9r50v98.pdf,"Jalan Mohammad Husni Thamrin Kilometer 2, Duta Indah Iconic Tower G, Lantai 1, Kel. Panunggangan Utara, Kec. Pinang, Kota Tangerang, Prov. Banten, 15143",https://storage.googleapis.com/assets.trading.stockbit.com/company/NASI/logo/zelp7hfsfk.png,Pengembangan
BSML,PT Bintang Samudera Mandiri Lines Tbk,16 Dec 2021,Rp117,20%,"370,045,000 lot",0,II - DANATAMA MAKMUR SEKURITAS,Transportasi & Logistik,Logistik & Pengantaran,Bergerak dalam angkutan laut dalam negeri untuk barang khusus serta perdagangan besar,https://bsmlines.com/,https://storage.googleapis.com/assets.trading.stockbit.com/company/BSML/prospectus/dz1wflwtb7.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/BSML/summary-prospectus/wsv7h6d8mh.pdf,"Rasuna Office Park OR, Jl. H. R. Rasuna Said, RT.16/RW.1, Menteng Atas, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12960",https://storage.googleapis.com/assets.trading.stockbit.com/company/BSML/logo/5hpr53bzfh.png,Pengembangan
AVIA,PT Avia Avian Tbk,08 Dec 2021,Rp930,10%,"6,200,000,000 lot",0,CC - MANDIRI SEKURITAS,Barang Baku,Barang Baku,"Industri dan perdagangan cat dan tinta cetak, pernis, lak, perekat/lem, mortar atau beton siap pakai",https://www.avianbrands.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/AVIA/prospectus/4l3csx840e.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/AVIA/summary-prospectus/duw2kq0fc8.pdf,"Jl. Surabaya - Sidoarjo KM. 19, Kel. Wadungasih, Kec. Buduran, Sidoarjo 61254, Jawa Timur",https://storage.googleapis.com/assets.trading.stockbit.com/company/AVIA/logo/r5jwiv492q.png,Utama
CMRY,PT Cisarua Mountain Dairy Tbk,06 Dec 2021,Rp3080,15%,"1,190,203,000 lot",0,CC - MANDIRI SEKURITAS,Barang Konsumen Primer,Makanan & Minuman,Bergerak di bidang usaha Produk Susu Premium dan Konsumen Premium,https://www.cimory.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/CMRY/prospectus/hdxx8tnwho.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/CMRY/summary-prospectus/r1zk3uyuym.pdf,Rukan Taman Meruya Jl. Komp. Rukan Taman Meruya No.N/27-28 Jakarta Barat 11620 Indonesia,https://storage.googleapis.com/assets.trading.stockbit.com/company/CMRY/logo/y8gi3rfigk.png,Utama
RMKE,PT RMK Energy Tbk,07 Dec 2021,Rp206,20%,"875,000,000 lot",0,IU - INDO CAPITAL SEKURITAS,Energi,"Minyak, Gas, & Batu Bara",Bergerak dalam bidang pertambangan batubara dan aktivitas perusahaan holding,http://www.rmkenergy.com/,https://storage.googleapis.com/assets.trading.stockbit.com/company/RMKE/prospectus/jp5gnfonof.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/RMKE/summary-prospectus/ja24cfilzo.pdf,"Wisma RMK Lantai 2 Jalan Puri Kencana Blok M4/1, Kembangan Selatan, Kembangan, Kota Adm. Jakarta Barat, DKI Jakarta 11610",https://storage.googleapis.com/assets.trading.stockbit.com/company/RMKE/logo/0vvv9vcw6x.png,Utama
WMPP,PT Widodo Makmur Perkasa Tbk,06 Dec 2021,Rp160,15%,"4,419,000,000 lot",0,SF - SURYA FAJAR SEKURITAS,Barang Konsumen Primer,Makanan & Minuman,"Peternakan Sapi & Ayam, Rumah Potong Hewan, Daging & Olahan, Pakan Ternak, Bahan Makanan, Konstruksi",https://widodomakmurperkasa.co.id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/WMPP/prospectus/uknyb7zsxn.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/WMPP/summary-prospectus/77ncw5rq22.pdf,"Gedung Graha Widodo Makmur Jalan Raya Cilangkap No. 58, Cilangkap, Cipayung, Jakarta Timur, 13870",https://storage.googleapis.com/assets.trading.stockbit.com/company/WMPP/logo/m1eyx2vy5p.png,Pemantauan Khusus
WGSH,PT Wira Global Solusi Tbk,06 Dec 2021,Rp140,20%,"208,500,000 lot",0,AH - SHINHAN SEKURITAS INDONESIA,Teknologi,Perangkat Lunak & Jasa TI,Bergerak dalam bidang usaha Perdagangan Teknologi Informasi,https://www.wgshub.com/,https://storage.googleapis.com/assets.trading.stockbit.com/company/WGSH/prospectus/sqqveb8s71.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/WGSH/summary-prospectus/qdsq6osis2.pdf,"The Breeze BSD City L81 - 82 Jln. Grand Boulevard Kabupaten Tangerang Indonesia, 15345",https://storage.googleapis.com/assets.trading.stockbit.com/company/WGSH/logo/7k64hdn0vw.png,Akselerasi
DEPO,PT Caturkarda Depo Bangunan Tbk,25 Nov 2021,Rp482,15%,"1,024,000,000 lot",0,YP - MIRAE ASSET SEKURITAS INDONESIA,Barang Konsumen Non-Primer,Perdagangan Ritel,Supermarket dan/atau Retai Bahan Bangunan,https://depobangunan.co.id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/DEPO/prospectus/j3ut8rtznl.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/DEPO/summary-prospectus/isjfobg9pu.pdf,"Jl. Raya Serpong KM2, Kel. Pakulonan, Kec. Serpong Utara, Tangerang Selatan",https://storage.googleapis.com/assets.trading.stockbit.com/company/DEPO/logo/x863gmgcxu.JPG,Pengembangan
TAYS,PT Jaya Swarasa Agung Tbk,06 Dec 2021,Rp360,21%,"240,300,000 lot",0,XA - NH KORINDO SEKURITAS INDONESIA,Barang Konsumen Primer,Makanan & Minuman,Industri Makanan Ringan,https://www.taysbakers.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/TAYS/prospectus/9oy1rmpl7a.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/TAYS/summary-prospectus/gt408h14tz.pdf,"Jalan Parung Panjang No. 68, Kp. Bungaok RT001/RW003 Desa Kemuning, Kecamatan Legok, Kabupaten Tangerang, Banten 15820.",https://storage.googleapis.com/assets.trading.stockbit.com/company/TAYS/logo/exufcj5sm2.jpg,Pengembangan
BINO,PT Perma Plasindo Tbk,25 Nov 2021,Rp138,20%,"435,000,000 lot",0,IU - INDO CAPITAL SEKURITAS,Perindustrian,Barang Perindustrian,Aktivitas perusahaan holding serta produksi dan distribusi alat tulis kantor melalui entitas anak,https://www.permaplasindo.co.id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/BINO/prospectus/xawouxx2ic.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/BINO/summary-prospectus/wis05ye30i.pdf,"Jl. Raya Boulevard Barat Blok LC VI No 23, Kelapa Gading Barat, Jakarta Utara, Indonesia 14240",https://storage.googleapis.com/assets.trading.stockbit.com/company/BINO/logo/alco3feu2s.png,Pengembangan
