1 candle gain,2 candle gain,3 candle gain,4 candle gain,5 candle gain,1 candle high,2 candle high,3 candle high,4 candle high,5 candle high
34.66666666666667,68.0,109.33333333333333,98.66666666666667,94.66666666666667,34.66666666666667,68.0,109.33333333333333,161.33333333333331,115.99999999999999
35.0,36.0,20.0,20.0,15.0,35.0,51.0,38.0,31.0,21.0
34.31372549019608,80.3921568627451,92.15686274509804,66.66666666666666,76.47058823529412,34.31372549019608,80.3921568627451,123.52941176470588,109.80392156862746,88.23529411764706
24.8,28.000000000000004,52.0,87.2,40.8,24.8,40.0,52.0,88.0,98.4
24.761904761904763,4.761904761904762,10.476190476190476,16.19047619047619,22.857142857142858,34.285714285714285,28.57142857142857,19.047619047619047,18.095238095238095,22.857142857142858
34.42622950819672,67.21311475409836,49.72677595628415,50.81967213114754,40.98360655737705,34.42622950819672,67.21311475409836,73.77049180327869,59.56284153005464,53.00546448087432
9.6,20.0,16.8,28.000000000000004,40.8,9.6,20.0,21.6,28.000000000000004,40.8
9.090909090909092,1.8181818181818181,-11.818181818181818,-7.2727272727272725,-19.090909090909093,34.54545454545455,19.090909090909093,8.181818181818182,-3.6363636363636362,-6.363636363636363
34.54545454545455,31.818181818181817,70.9090909090909,129.0909090909091,71.81818181818181,34.54545454545455,54.54545454545454,73.63636363636363,129.0909090909091,149.0909090909091
34.04255319148936,67.02127659574468,90.42553191489363,118.08510638297874,131.91489361702128,34.04255319148936,67.02127659574468,107.4468085106383,128.72340425531914,143.61702127659575
35.0,68.75,110.00000000000001,155.0,91.25,35.0,68.75,110.00000000000001,161.25,211.24999999999997
35.0,82.0,144.0,112.00000000000001,164.0,35.0,82.0,144.0,188.0,164.0
6.106870229007633,-17.557251908396946,-23.66412213740458,-11.450381679389313,-13.740458015267176,30.53435114503817,12.213740458015266,-13.740458015267176,-10.687022900763358,-4.580152671755725
27.500000000000004,4.166666666666666,-6.666666666666667,10.0,2.5,35.0,44.166666666666664,13.333333333333334,10.833333333333334,14.166666666666666
17.56756756756757,10.81081081081081,8.783783783783784,16.216216216216218,18.243243243243242,34.45945945945946,22.2972972972973,16.89189189189189,17.56756756756757,26.351351351351347
-24.46043165467626,-43.16546762589928,-47.482014388489205,-52.51798561151079,-55.75539568345324,24.46043165467626,-31.654676258992804,-42.44604316546763,-44.24460431654676,-50.0
13.793103448275861,-2.7586206896551726,7.586206896551724,17.24137931034483,20.0,34.48275862068966,15.862068965517242,7.586206896551724,22.758620689655174,24.82758620689655
34.78260869565217,80.8695652173913,112.17391304347825,113.91304347826087,117.3913043478261,34.78260869565217,80.8695652173913,115.65217391304347,131.30434782608694,131.30434782608694
9.70873786407767,1.9417475728155338,0.0,-1.9417475728155338,4.854368932038835,9.70873786407767,19.41747572815534,4.854368932038835,2.912621359223301,5.825242718446602
25.0,47.05882352941176,50.0,44.85294117647059,51.470588235294116,25.0,55.88235294117647,61.76470588235294,56.61764705882353,52.20588235294118
24.62686567164179,-5.970149253731343,-29.47761194029851,-49.62686567164179,-47.01492537313433,24.62686567164179,55.223880597014926,14.17910447761194,-36.56716417910448,-44.40298507462687
4.0,-9.6,-22.400000000000002,-23.200000000000003,-25.6,34.4,14.399999999999999,-6.4,-12.0,-20.8
-3.3333333333333335,-16.666666666666664,-26.25,-27.083333333333332,-30.0,16.666666666666664,-3.3333333333333335,-12.5,-24.583333333333332,-26.666666666666668
34.285714285714285,22.857142857142858,10.476190476190476,11.428571428571429,9.523809523809524,34.285714285714285,61.904761904761905,22.857142857142858,23.809523809523807,15.238095238095239
14.563106796116504,4.854368932038835,-2.912621359223301,-4.854368932038835,-16.50485436893204,30.097087378640776,27.184466019417474,12.62135922330097,3.8834951456310676,-3.8834951456310676
15.333333333333332,42.66666666666667,27.333333333333332,27.333333333333332,25.333333333333336,24.0,44.0,70.0,27.333333333333332,29.333333333333332
19.863013698630137,35.84474885844749,68.94977168949772,27.85388127853881,27.85388127853881,24.429223744292237,44.97716894977169,68.94977168949772,104.337899543379,27.85388127853881
34.25925925925926,13.88888888888889,13.88888888888889,3.7037037037037033,-0.9259259259259258,34.25925925925926,76.85185185185185,13.88888888888889,10.185185185185185,4.62962962962963
34.85714285714286,68.0,26.857142857142858,26.857142857142858,4.571428571428571,34.85714285714286,68.0,73.71428571428571,26.857142857142858,8.571428571428571
24.85207100591716,27.218934911242602,55.325443786982255,93.78698224852072,45.562130177514796,24.85207100591716,50.887573964497044,56.80473372781065,93.78698224852072,130.76923076923077
-10.0,-19.0,-19.0,-34.0,-28.000000000000004,10.0,-12.0,-19.0,-28.999999999999996,-28.000000000000004
-11.0,-40.0,-41.0,-43.0,-39.0,33.0,-12.0,-36.0,-40.0,-33.0
-4.705882352941177,0.0,-2.941176470588235,0.5882352941176471,-3.5294117647058822,11.76470588235294,7.0588235294117645,2.941176470588235,1.1764705882352942,1.1764705882352942
35.0,6.0,7.000000000000001,7.000000000000001,11.0,35.0,82.0,15.0,12.0,11.0
7.011070110701106,1.107011070110701,1.107011070110701,0.36900369003690037,2.214022140221402,24.723247232472325,8.118081180811808,5.535055350553505,4.059040590405904,3.3210332103321036
9.696969696969697,3.0303030303030303,4.242424242424243,3.0303030303030303,4.848484848484849,34.54545454545455,12.727272727272727,6.666666666666667,6.666666666666667,6.666666666666667
4.166666666666666,-19.166666666666668,-18.333333333333332,-12.5,-8.333333333333332,25.0,4.166666666666666,-12.5,-10.833333333333334,-5.0
10.0,6.0,-4.0,-4.0,-5.0,10.0,21.0,8.0,-2.0,-2.0
