Code,Actual,Predicted,Error,AbsoluteError,SquaredError
GUNA,34.66666666666667,20.200296907778046,14.466369758888625,14.466369758888625,209.27585400088734
GOLF,35.0,24.94566412307946,10.05433587692054,10.05433587692054,101.08966992593152
LABS,34.31372549019608,19.3408252521738,14.972900238022277,14.972900238022277,224.18774153776755
ISEA,24.8,17.7430827394218,7.056917260578199,7.056917260578199,49.80008122264652
PART,24.761904761904763,21.21065115482324,3.5512536070815237,3.5512536070815237,12.611402181809533
BLES,34.42622950819672,24.58194619643303,9.84428331176369,9.84428331176369,96.90991392226907
SPRE,9.6,10.426630020977179,-0.8266300209771789,0.8266300209771789,0.6833171915807311
BATR,9.090909090909092,22.36241385247495,-13.27150476156586,13.27150476156586,176.1328386362653
SOLA,34.54545454545455,23.756552425303795,10.788902120150752,10.788902120150752,116.40040895819338
DATA,34.04255319148936,18.31619335789415,15.726359833595211,15.726359833595211,247.3183936157168
MHKI,35.0,18.897759003682204,16.102240996317796,16.102240996317796,259.28216510349756
ATLA,35.0,18.113334329083848,16.886665670916152,16.886665670916152,285.15947748129804
AREA,6.106870229007633,18.394606541357057,-12.287736312349423,12.287736312349423,150.9884636818306
VISI,27.500000000000004,21.075857821375834,6.4241421786241695,6.4241421786241695,41.26960273117809
LIVE,17.56756756756757,20.999217215769683,-3.4316496482021144,3.4316496482021144,11.776219308005695
BAIK,-24.46043165467626,19.085370118759982,-43.54580177343624,43.54580177343624,1896.2368520914026
HYGN,13.79310344827586,20.521750293191246,-6.728646844915387,6.728646844915387,45.27468836358979
MKAP,34.78260869565217,18.76034309953421,16.02226559611796,16.02226559611796,256.71299483254523
MEJA,9.70873786407767,7.625634813748001,2.083103050329668,2.083103050329668,4.339318318292767
ALII,25.0,23.355478444378754,1.644521555621246,1.644521555621246,2.704451146902923
MPIX,24.62686567164179,15.074712183907895,9.552153487733896,9.552153487733896,91.24363625322684
TOSK,4.0,15.076070742706396,-11.076070742706396,11.076070742706396,122.6793430974366
UNTD,-3.333333333333333,22.08697773673247,-25.420311070065804,25.420311070065804,646.19221489891
SMGA,34.285714285714285,22.63460101810947,11.651113267604813,11.651113267604813,135.7484403745569
GRPH,14.563106796116504,20.81486268253159,-6.251755886415086,6.251755886415086,39.08445166332568
