Model,BestParams,MAE,MSE,RMSE,R²
LinearRegression,{},32.26053089632891,1561.6019137527962,39.517109126969245,0.15944195792261617
Ridge,{'alpha': 10},32.41479250903593,1568.993740847041,39.61052563204686,0.15546318480829446
Lasso,{'alpha': 10},36.13720533587049,1888.9098596965823,43.46159062547737,-0.016736954113752534
DecisionTree,{'max_depth': 3},34.86083710636206,1808.9443304980077,42.53168619391909,0.026305813742048212
RandomForest,"{'max_depth': 10, 'n_estimators': 50}",36.14257786680265,1940.146178272206,44.0470904631873,-0.044315749481441236
SVR,"{'C': 1, 'gamma': 'auto'}",32.10440358637881,1863.2950987435797,43.16590203787684,-0.00294938563979108
XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",31.631078555429568,1576.7618919037195,39.70846121299237,0.15128184910086617
