Model,BestParams,Accuracy,Precision,Recall,F1 Score
LogisticRegression,{'C': 0.1},0.1111111111111111,0.018518518518518517,0.16666666666666666,0.03333333333333333
DecisionTree,{'max_depth': 5},0.5,0.29791666666666666,0.31746031746031744,0.26856060606060606
RandomForest,"{'max_depth': 5, 'n_estimators': 50}",0.6666666666666666,0.4444444444444445,0.34410430839002265,0.35925985778926955
SVC,"{'C': 0.1, 'gamma': 'scale'}",0.3888888888888889,0.06481481481481481,0.16666666666666666,0.09333333333333334
XGBClassifier,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}",0.5833333333333334,0.2702947845804989,0.27664399092970526,0.26785714285714285
