Model,BestParams,Accuracy,Precision,Recall,F1 Score
LogisticRegression,{'C': 0.1},0.4166666666666667,0.10416666666666667,0.25,0.14705882352941177
DecisionTree,{'max_depth': 5},0.2777777777777778,0.24019607843137253,0.2708333333333333,0.24955357142857146
RandomForest,"{'max_depth': 10, 'n_estimators': 100}",0.4444444444444444,0.484375,0.3291666666666667,0.3373655913978495
SVC,"{'C': 10, 'gamma': 'auto'}",0.3333333333333333,0.08333333333333333,0.25,0.125
XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",0.3888888888888889,0.30000000000000004,0.3458333333333333,0.32037037037037036
