Model,BestParams,Accuracy,Precision,Recall,F1 Score
LogisticRegression,{'C': 0.1},0.3611111111111111,0.09027777777777778,0.25,0.13265306122448978
DecisionTree,{'max_depth': 3},0.6111111111111112,0.53125,0.6813186813186813,0.49549796608620134
RandomForest,"{'max_depth': 5, 'n_estimators': 50}",0.7777777777777778,0.6889880952380953,0.8131868131868132,0.6975108225108225
SVC,"{'C': 0.1, 'gamma': 'scale'}",0.4166666666666667,0.10416666666666667,0.25,0.14705882352941177
XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.7222222222222222,0.65625,0.7772893772893773,0.6323998582063097
