Model,BestParams,MAE,MSE,RMSE,R²
LinearRegression,{},12.448772649129292,219.78867228761177,14.825271406878587,0.2542947768445778
Ridge,{'alpha': 0.1},12.449813735536102,219.81740422362435,14.826240394099386,0.25419729431950977
Lasso,{'alpha': 0.1},12.468086896075139,220.09465566974134,14.835587473023821,0.25325662777220803
DecisionTree,{'max_depth': 10},15.122259515098584,488.69690344246567,22.106490075144578,-0.658064674780185
RandomForest,"{'max_depth': 5, 'n_estimators': 50}",12.57746800662131,238.02435069129945,15.428037810794327,0.19242425143543518
SVR,"{'C': 0.1, 'gamma': 'auto'}",15.522674837940384,311.08550337698955,17.637616147795868,-0.055459693630580675
XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",15.190967047110357,367.2317484896878,19.16329169244386,-0.24595426191440573
