Model,BestParams,MANE,MSNE,RMSNE,R²
LinearRegression,{},21.193998068433814,875.7075454123227,29.592356199064696,0.5286359389537117
Ridge,{'alpha': 10},21.291119789065473,876.3634722724472,29.603436832105274,0.5282828754793163
Lasso,{'alpha': 10},23.75913334307528,1008.965235504638,31.76421312585341,0.45690778462110704
DecisionTree,{'max_depth': 3},23.039407413182555,1342.8485255972353,36.64489767480918,0.2771895849115903
RandomForest,"{'max_depth': 3, 'n_estimators': 100}",21.5157807147392,1042.9033880847383,32.29401474088873,0.43864001302501743
SVR,"{'C': 10, 'gamma': 'auto'}",14.569135562606853,480.11437774712886,21.91151244773233,0.7415705002803853
XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}",24.26360895248098,1068.3789225383002,32.68606618328826,0.42492738551567966
