Model,BestParams,MANE,MSNE,RMSNE,R²
LinearRegression,{},25.88083159729655,1226.7423878370657,35.02488241003909,0.6040779656364892
Ridge,{'alpha': 10},25.90556479821625,1225.2519304530113,35.003598821449934,0.6045589997358061
Lasso,{'alpha': 10},27.78388306767546,1366.5186606101304,36.96645317866093,0.5589662071933539
DecisionTree,{'max_depth': 3},28.70649589536585,2083.6612105493787,45.647138032404385,0.3275137522071042
RandomForest,"{'max_depth': 3, 'n_estimators': 100}",24.884431317335366,1286.7544593101923,35.87135987539631,0.5847095133358384
SVR,"{'C': 0.1, 'gamma': 'scale'}",16.801654969112708,642.4359035867797,25.34631933016665,0.7926585626957066
XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",27.416746275782018,1330.3167928492994,36.473508096278586,0.5706500923136019
